rownames.camera_results.	camera_descr	PValue	FDR	camera_Phenotype	camera_genes
REGULATION OF MORPHOGENESIS OF A BRANCHING STRUCTURE%GOBP%GO:0060688	REGULATION OF MORPHOGENESIS OF A BRANCHING STRUCTURE	6.75426645317134e-09	1.24146202600076e-05	1	AGT,BMP4,FGFR2,HGF,LHX1,LRRK2,NOG,PAX2,PAX8,PDGFA,RTN4,SIX1,SIX2,SIX4,SMO,SOX9,SULF1,TACSTD2,TNF,VEGFA
SENSORY PERCEPTION%GOBP%GO:0007600	SENSORY PERCEPTION	7.49435915763231e-09	1.24146202600076e-05	1	ABLIM1,ADCY3,ADORA2A,ALDH7A1,ALOXE3,ANO1,ATP2B2,ATP6V1B1,ATXN7,AZGP1,BBS4,BEST1,C5AR1,CABP4,CACNA1D,CACNA1F,CACNA2D4,CD36,CDH23,CLIC5,CNGB1,COL11A1,COL11A2,COL18A1,COL1A1,CRYZ,CST1,CYP1B1,DCDC2,DFNA5,DFNB31,DHRS3,DNAJC19,DRAM2,DRD2,EFEMP1,EML2,EPHB1,EYA3,EYA4,FAM134B,FAM65B,FSCN2,GJA3,GNAL,GNAS,GPR143,HOXA1,HPN,IMPG2,KCNQ1,KIFC3,KIT,KPTN,LPO,LRTOMT,MARVELD2,MKKS,MME,MMP24,MYH14,MYO3A,MYO7A,MYO9A,NDP,NDUFB9,NIPBL,OAT,OBP2A,OBP2B,OPA1,OPA3,OPRL1,OR2A4,OR2A7,OR2W3,P2RX4,P2RX7,PAX2,PAX6,PIGR,PITPNA,PNOC,PRR4,RABGGTA,RABGGTB,RDH10,RGS16,RP2,RPGR,RTP4,SDR16C5,SERPINB6,SHANK1,SLC24A1,SNAI2,SOD1,SPTBN4,STRC,TAS1R3,TBL1X,TFAP2A,TIMM10,TIMM13,TIMM8B,TIMM9,TPRN,TRPV1,TRPV2,TTC8,UBR3,VAX2,WDR1,WFS1,ZIC2,ZNF354A
EAR MORPHOGENESIS%GOBP%GO:0042471	EAR MORPHOGENESIS	1.32011017004543e-08	1.24146202600076e-05	1	ATP6V1B1,CEP290,CHD7,CLIC5,EPHB2,FGFR2,GSC,HOXA1,HPN,NIPBL,NOG,OSR1,OSR2,PAX2,PAX8,SALL1,SIX1,SOD1,SOX9,STRC,TFAP2A,TWIST1,ZIC1
DIGESTIVE SYSTEM DEVELOPMENT%GOBP%GO:0055123	DIGESTIVE SYSTEM DEVELOPMENT	1.47590481345812e-08	1.24146202600076e-05	1	AGR2,AHI1,BARX1,BBS7,CCDC103,CCDC40,CHD8,COBL,DACT1,EDNRB,EPHB3,FGFR2,FOXF1,GATA2,GATA3,GATA4,GATA5,GATA6,GLI2,GLI3,ID2,ITGA6,ITGB4,KIT,MEGF8,NIPBL,NPHP3,PCSK5,PDGFRA,PKD1,PKDCC,PPDPF,RARB,RARRES2,RET,SALL1,SIX2,SMO,SOX11,SOX17,STRA6,TBX2,TCF21,TGFB2,TNF,TRPS1,WNT11
RETINOID METABOLIC PROCESS%GOBP%GO:0001523	RETINOID METABOLIC PROCESS	1.51195667967646e-08	1.24146202600076e-05	1	ABCA4,AGRN,AKR1C1,AKR1C3,ALDH1A2,ALDH1A3,APOA1,APOC2,APOE,APOM,CYP1B1,CYP26B1,DHRS3,DHRS9,GPC1,GPC2,GPC3,GPC4,GPC6,HSPG2,LDLR,LPL,LRAT,LRP1,LRP2,LRP8,NAPEPLD,PLB1,RARRES2,RBP1,RBP4,RDH10,RDH11,RDH5,RETSAT,SCPEP1,SDC1,SDC2,SDC3,SDC4,SDR16C5,STRA6
MESONEPHROS DEVELOPMENT%GOBP%GO:0001823	MESONEPHROS DEVELOPMENT	1.91851820394368e-08	1.24146202600076e-05	1	BMP2,BMP4,BMP7,CTNNBIP1,FGF1,FGF2,FGFR2,FOXJ1,GATA3,GPC3,LHX1,MYC,NPNT,OSR1,OSR2,PAX2,PAX8,PKD1,PKD2,ROBO2,SALL1,SIX1,SLIT2,TCF21,WNT11,WT1,ZBTB16
DETECTION OF STIMULUS INVOLVED IN SENSORY PERCEPTION%GOBP%GO:0050906	DETECTION OF STIMULUS INVOLVED IN SENSORY PERCEPTION	2.31071694886209e-08	1.24146202600076e-05	1	ANO1,AZGP1,CACNA1F,CACNA2D4,CNGB1,COL11A1,CST1,EPHB1,HPN,KIT,LPO,MKKS,MMP24,OR2A4,OR2A7,OR2W3,PIGR,RTP4,SDR16C5,TAS1R3
CELL-CELL SIGNALING%GOBP%GO:0007267	CELL-CELL SIGNALING	2.55507132579057e-08	1.24146202600076e-05	1	ABAT,ABCC9,ACHE,ADAM10,ADCY1,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY9,ADM,ADORA1,ADORA2A,ADRA1B,ADRA2A,ADRA2C,ADRB2,AGT,AIMP1,AKAP5,AKAP9,ALDH2,ALDH5A1,AMH,AMPH,ANK2,ANXA9,AP2A1,AP2A2,AP2B1,AP2M1,AP2S1,APBA1,APOE,AREG,ARHGEF9,AR,ASH1L,ATXN3,BAIAP3,BDNF,BMP2,BMP4,BRAF,BRSK1,BSN,BST2,BZRAP1,C1QA,CACNA1A,CACNA1B,CACNA1D,CACNA1E,CACNB1,CACNB3,CACNG4,CALM1,CALM2,CALM3,CAMK2B,CAMK2D,CAMK2G,CAMKK1,CASK,CCL13,CCL18,CCL20,CCL21,CCL22,CCL3,CCL4,CCL5,CCL7,CCL8,CCR1,CCR5,CD33,CD34,CD80,CD86,CDK16,CDK5,CEACAM6,CHRM3,CHRNA1,CHRNA5,CHRNB1,CHRNB4,CHRNE,CHST4,CNP,COLQ,COMT,CPLX1,CREB1,CTF1,CTGF,CXCL10,CXCL11,CXCL13,CXCL14,CXCL5,CXCL6,CXCL9,CYB5R4,CYR61,DLG1,DLG3,DLG4,DLGAP1,DLL1,DNAJC5,DOC2A,DRD2,DRD4,DTNA,DVL1,ECE2,EDN1,EFNA1,EFNA3,EFNA4,EFNB1,EFNB2,EFNB3,EIF2AK3,ENPEP,EPB41L1,ESR2,FADS1,FAM3B,FASLG,FAT1,FGF11,FGF12,FGF13,FGF18,FGFR2,FJX1,FZD1,GABARAP,GABBR1,GABBR2,GABRA3,GABRB2,GABRB3,GAL3ST4,GAL,GATA3,GATA4,GDF15,GDF5,GIPC1,GJA1,GJA3,GJB1,GJC1,GLRB,GLS2,GLS,GLUL,GNAI1,GNAI2,GNAI3,GNAL,GNB1,GNB2,GNG10,GNG12,GNG2,GNG4,GNG5,GNG7,GNGT2,GPR176,GPR1,GRAP2,GRAP,GRB2,GRIA2,GRIK3,GRIK4,GRIK5,GRIN2A,GRIN2D,GRIP1,GRM4,HCN2,HCN3,HGF,HMGA2,HOMER1,HRAS,HSPA8,HTR3A,IK,IL10,IL11,IL15,IL18,IL1B,IL6,IL7,INHA,INHBA,ITGB2,KCNA3,KCNAB1,KCNAB2,KCNAB3,KCNC3,KCNC4,KCND1,KCND2,KCNG1,KCNH2,KCNH3,KCNH8,KCNIP2,KCNJ10,KCNJ11,KCNJ12,KCNJ14,KCNJ15,KCNJ16,KCNJ2,KCNJ5,KCNJ8,KCNK13,KCNK1,KCNK2,KCNK3,KCNK6,KCNK9,KCNMA1,KCNMB1,KCNMB2,KCNMB3,KCNMB4,KCNN1,KCNN3,KCNN4,KCNQ1,KCNQ3,KCNQ4,KCNQ5,KCNS1,KCNS3,KIF1B,KIF5A,KLF10,LHX1,LILRB2,LIN7B,LIN7C,LNPEP,LPAR3,LRP6,LRRK2,LTA,LTBP4,LTB,MAOA,MAPK1,MAPK8IP2,MBP,MDM2,MEF2C,MERTK,MINK1,MLLT4,MPZL1,MPZ,MYO6,NAMPT,NCALD,NDP,NLGN1,NLGN3,NMB,NOVA1,NOV,NPTX2,NQO1,NR5A1,NRP1,NRXN2,NSF,NTF3,NTF4,NUDT3,OPRL1,P2RY11,PAFAH1B1,PANX1,PANX2,PCDH1,PCDHB10,PCDHB11,PCDHB13,PCDHB14,PCDHB16,PCDHB2,PCDHB3,PCDHB4,PCDHB5,PCDHB6,PCDHB9,PCLO,PCSK5,PDE7B,PDGFA,PDGFB,PDPK1,PDZD11,PGF,PGR,PICK1,PIP5K1C,PKP2,PKP4,PLCB1,PLCB2,PLCB3,PMP22,POU5F1,PPFIA1,PPFIA3,PPFIA4,PRKACB,PRKCA,PRKCB,PTEN,PTGIR,PTHLH,PTPRN2,PTPRN,RAB11B,RAB11FIP2,RAB11FIP5,RAB1A,RAB3A,RAB3GAP1,RAF1,RASGRF2,RIC3,RIMS2,RNF207,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA6,RRAS,RYR2,S100A9,SCN1B,SCN2B,SCN3B,SCN4B,SCN5A,SDCBP,SEMA3B,SEMA4F,SEMA5A,SEPT5,SFRP2,SH2D1A,SH3KBP1,SIRPG,SLC12A4,SLC12A6,SLC12A7,SLC1A1,SLC1A3,SLC1A4,SLC38A1,SLC38A2,SLC6A11,SLC6A12,SLC6A13,SLC6A20,SLC6A9,SNAP23,SNAP25,SNAP29,SNAP47,SNAPIN,SNCA,SNPH,SNX19,SST,STAB1,STAC3,STX11,STX19,STX1A,STX1B,STX2,STX3,STX4,STXBP1,SYN1,SYNJ1,SYPL1,SYT1,TBX3,TEK,TFAP2C,TGFB2,TJP1,TMED1,TNFAIP6,TNFRSF11A,TNFSF10,TNFSF8,TNFSF9,TOLLIP,TSPAN32,TUSC2,TXN,UNC119,UNC13A,UNC13B,VAMP2,VIPR1,WISP1,WISP2,WISP3,WNT2,WNT9A,XCL1,ZYX
MESONEPHRIC TUBULE DEVELOPMENT%GOBP%GO:0072164	MESONEPHRIC TUBULE DEVELOPMENT	2.66122620793304e-08	1.24146202600076e-05	1	BMP2,BMP4,BMP7,CTNNBIP1,FGF1,FGF2,FGFR2,FOXJ1,GATA3,GPC3,LHX1,MYC,NPNT,OSR1,PAX2,PAX8,PKD1,PKD2,ROBO2,SALL1,SIX1,SLIT2,TCF21,WNT11,WT1
MESONEPHRIC EPITHELIUM DEVELOPMENT%GOBP%GO:0072163	MESONEPHRIC EPITHELIUM DEVELOPMENT	2.66122620793304e-08	1.24146202600076e-05	1	BMP2,BMP4,BMP7,CTNNBIP1,FGF1,FGF2,FGFR2,FOXJ1,GATA3,GPC3,LHX1,MYC,NPNT,OSR1,PAX2,PAX8,PKD1,PKD2,ROBO2,SALL1,SIX1,SLIT2,TCF21,WNT11,WT1
