GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:1903170	negative regulation of calcium ion transmembrane transport	1.20e-02	1.20e-02	1	PKD2,ADRA2A,PLN
GO:1901020	negative regulation of calcium ion transmembrane transporter activity	1.20e-02	1.20e-02	1	PKD2,ADRA2A,PLN
GO:0007219	Notch signaling pathway	1.33e-02	1.33e-02	1	CNTN1,SNAI2,ZNF423,CCND1,SNAI1,BMP2,DTX1,HEYL,HEY1,TSPAN5,EGFL7,NCOR2,MEG3
GO:0008593	regulation of Notch signaling pathway	2.63e-03	2.63e-03	1	DTX1,HEY1,TSPAN5,EGFL7,MEG3
GO:0045746	negative regulation of Notch signaling pathway	1.65e-02	1.65e-02	1	HEY1,EGFL7,MEG3
GO:0038065	collagen-activated signaling pathway	4.03e-04	4.03e-04	1	ITGA11,DDR2,ITGA2
GO:0036065	fucosylation	6.32e-03	6.32e-03	1	ADAMTS7,THBS1,ADAMTSL4,ADAMTS5,ADAMTSL1
GO:0006493	protein O-linked glycosylation	1.12e-02	1.12e-02	1	MUC5B,GALNTL2,ADAMTS7,GALNT5,THBS1,ADAMTSL4,ADAMTS5,GALNT10,GXYLT2,B3GNT1,ADAMTSL1
GO:0036066	protein O-linked fucosylation	2.13e-04	2.13e-04	1	ADAMTS7,THBS1,ADAMTSL4,ADAMTS5,ADAMTSL1
GO:0048009	insulin-like growth factor receptor signaling pathway	1.07e-05	1.07e-05	1	IGF1,GHR,IGFBP5,BMP2,CILP,IGFBP4,CRIM1,IGFBP6,IRS1
GO:0043567	regulation of insulin-like growth factor receptor signaling pathway	4.69e-05	4.69e-05	1	IGF1,IGFBP5,BMP2,CILP,IGFBP4,IGFBP6
GO:0043569	negative regulation of insulin-like growth factor receptor signaling pathway	1.68e-05	1.68e-05	1	IGFBP5,BMP2,CILP
GO:0035385	Roundabout signaling pathway	9.02e-04	9.02e-04	1	SLIT2,SLIT3
GO:0034762	regulation of transmembrane transport	2.95e-02	2.95e-02	1	NEDD4,CACNG4,JPH4,CAV1,CXCL12,PDE4D,PDGFRB,PKD2,KCNJ8,ATP1B2,DPP6,DLG4,AGT,THBS1,JPH2,ADRA2A,KCNJ15,KCNAB1,NLGN2,DAPK1,PLN
GO:0022898	regulation of transmembrane transporter activity	3.41e-02	3.41e-02	1	NEDD4,CACNG4,JPH4,CAV1,PDE4D,PKD2,ATP1B2,DLG4,AGT,JPH2,ADRA2A,KCNAB1,NLGN2,DAPK1,PLN
