Gene Symbol,Cancer Gene Census,MuSIC,OncodriveFM,OncodriveCLUST,ActiveDriver,MutSig,Putative Driver Category
AARS2,,,,,,Selected,High Confidence Driver
ABCB1,,Selected,Selected,,,Selected,High Confidence Driver
ABL1,CGC,,,,Selected,,High Confidence Driver
ACVR1B,,Selected,Selected,,,,High Confidence Driver
ADAM10,,,Selected,,,,High Confidence Driver
ADCY1,,Selected,,,,,High Confidence Driver
ADORA2A,,Selected,,,,,High Confidence Driver
AHNAK2,,Selected,,,Selected,,High Confidence Driver
AJUBA,,Selected,Selected,,,,High Confidence Driver
AKAP9,CGC,,Selected,,,Selected,High Confidence Driver
AKD1,,,,,,Selected,High Confidence Driver
AKT1,CGC,Selected,Selected,Selected,,Selected,High Confidence Driver
AMPH,,Selected,,,,,High Confidence Driver
ANAPC1,,,,,Selected,,High Confidence Driver
ANKRD12,,,Selected,,,Selected,High Confidence Driver
APAF1,,,Selected,,,,High Confidence Driver
APC,CGC,Selected,Selected,Selected,,Selected,High Confidence Driver
AR,,Selected,,,,,High Confidence Driver
ARHGAP32,,,,,Selected,,High Confidence Driver
ARHGAP35,,Selected,Selected,,,,High Confidence Driver
ARHGEF6,,,Selected,,,,High Confidence Driver
ARID1A,CGC,Selected,Selected,,,Selected,High Confidence Driver
ARID2,CGC,,Selected,,,Selected,High Confidence Driver
ARID5B,,Selected,Selected,,,,High Confidence Driver
ASPM,,Selected,,,Selected,,High Confidence Driver
ASXL1,CGC,Selected,Selected,,,,High Confidence Driver
ATG13,,,Selected,,,,High Confidence Driver
ATM,CGC,Selected,Selected,,,Selected,High Confidence Driver
ATR,,Selected,Selected,,,,High Confidence Driver
ATRX,CGC,Selected,Selected,,Selected,Selected,High Confidence Driver
AXIN2,,Selected,Selected,,,,High Confidence Driver
B2M,,,Selected,Selected,,Selected,High Confidence Driver
BAP1,CGC,Selected,Selected,,,Selected,High Confidence Driver
BARD1,,,,,Selected,,High Confidence Driver
BCLAF1,,Selected,,,Selected,,High Confidence Driver
BCOR,CGC,,,,,Selected,High Confidence Driver
BLM,CGC,,Selected,,,Selected,High Confidence Driver
BRAF,CGC,Selected,,Selected,Selected,Selected,High Confidence Driver
BRCA1,CGC,Selected,Selected,,,Selected,High Confidence Driver
